StdFirst;SqlStdExecTime;SqlXExecTime;NRows;SleepTime
0;166555300;170240000;100000;2
0;161569500;167191800;100000;2
0;191486500;187308200;100000;2
0;172537200;180479300;100000;2
1;179530000;162559300;100000;2
0;164561600;229186000;100000;2
0;158576300;187912000;100000;2
1;168214200;167552200;100000;2
0;160570900;225181300;100000;2
1;186218100;165558700;100000;2
0;191487900;172543900;100000;2
1;160301800;163562500;100000;2
1;182252900;162565100;100000;2
1;168305100;204452000;100000;2
0;167552700;166342300;100000;2
1;159571600;168547500;100000;2
1;176346100;195478000;100000;2
1;173303300;172537600;100000;2
1;163209500;165557100;100000;2
1;190270200;186500000;100000;2
0;167551700;179516600;100000;2
1;181520600;156581600;100000;2
0;162566900;220205900;100000;2
1;190443400;160571400;100000;2
1;215600500;192776200;100000;2
1;208546500;214399000;100000;2
1;197599900;207290500;100000;2
0;168350200;257827800;100000;2
0;201593400;204664000;100000;2
1;215162200;218413900;100000;2
0;203561400;195500400;100000;2
1;210956200;172537300;100000;2
1;269946200;181708100;100000;2
1;227226200;167515200;100000;2
1;252994900;185013300;100000;2
0;168548700;249966800;100000;2
1;242113800;221952600;100000;2
1;215616000;182496200;100000;2
0;166121200;214966400;100000;2
0;197424500;269452400;100000;2
1;199960600;174534600;100000;2
1;238674700;227862400;100000;2
0;217380700;216039100;100000;2
1;229246900;194073800;100000;2
0;197452100;232763800;100000;2
1;242602400;171627900;100000;2
0;358496600;499133500;100000;2
1;344303900;176529300;100000;2
1;220634200;186057400;100000;2
0;233375600;206707900;100000;2
1;250656300;199064300;100000;2
0;236370400;198306100;100000;2
0;204267100;198784300;100000;2
0;198408200;202662900;100000;2
1;277225300;206222300;100000;2
1;225874400;166575900;100000;2
0;238736900;256249600;100000;2
1;216053300;200493300;100000;2
0;204426200;253527200;100000;2
1;189363700;193068700;100000;2
1;265661800;201439700;100000;2
0;202491700;265297600;100000;2
0;192152000;212971500;100000;2
0;171496000;269213800;100000;2
1;220613200;187498300;100000;2
0;233715400;205740800;100000;2
0;176635000;179948900;100000;2
1;217740100;187473700;100000;2
0;169511600;255595900;100000;2
0;189471900;246500600;100000;2
1;229420100;214917100;100000;2
1;240400600;170543800;100000;2
1;244273200;234787900;100000;2
0;188377400;227398400;100000;2
0;184508100;255435900;100000;2
0;179496300;275431000;100000;2
1;198796100;174564700;100000;2
0;178486100;249571300;100000;2
1;217986800;200485000;100000;2
1;217380100;209978300;100000;2
1;1521928000;1538055200;1000000;2
0;1543259700;1538722200;1000000;2
0;1516993700;1498976800;1000000;2
0;1493008400;1534900600;1000000;2
0;1539647800;1535597200;1000000;2
1;1529743300;1538843500;1000000;2
1;1523225300;1526157800;1000000;2
0;1500705900;1530063600;1000000;2
0;1524605500;1513017800;1000000;2
0;1525048000;1529495700;1000000;2
0;1519833800;1525062900;1000000;2
0;1548687400;1546048300;1000000;2
0;1496996800;1488020700;1000000;2
1;1521703900;1555821200;1000000;2
0;1550761500;1530674900;1000000;2
0;1530918800;1517914800;1000000;2
0;1523168100;1521448200;1000000;2
1;1482591300;1528112400;1000000;2
1;1514953900;1529908600;1000000;2
0;1522081700;1525789200;1000000;2
0;1499990100;1468744400;1000000;2
1;1534523500;1563027900;1000000;2
0;1584629200;1499140400;1000000;2
1;1549360900;1533417700;1000000;2
1;1544873700;1515945300;1000000;2
1;1509961700;1501919200;1000000;2
0;1511956500;1538494000;1000000;2
0;1513006500;1518008900;1000000;2
1;1512882800;1504348100;1000000;2
1;1516779800;1493006900;1000000;2
0;1523924400;1529465400;1000000;2
1;1532766500;1506744400;1000000;2
0;1511974800;1500991400;1000000;2
1;1511961900;1518372300;1000000;2
0;1523922900;1546055700;1000000;2
0;1533897100;1549339300;1000000;2
1;1522947300;1544257500;1000000;2
1;1497677500;1506256600;1000000;2
0;1529485200;1540301700;1000000;2
0;1791194800;1527920700;1000000;2
1;1522482800;1508966000;1000000;2
0;1518886100;1565074300;1000000;2
0;1510801800;1499789200;1000000;2
1;1500714700;1545026900;1000000;2
0;1509335500;1542231900;1000000;2
1;1597572700;1582530300;1000000;2
0;1511918100;1520336000;1000000;2
1;1506969200;1594734100;1000000;2
0;1548857500;1853862500;1000000;2
1;1643347000;1682352200;1000000;2
0;1565246600;1619626700;1000000;2
0;1912624900;1974722800;1000000;2
1;1567305200;2074382100;1000000;2
0;1585759800;1727735100;1000000;2
0;1522925100;1559836700;1000000;2
1;1518160700;1572792500;1000000;2
1;1543737500;1568586900;1000000;2
1;1542211900;1548431500;1000000;2
1;1514676100;1584242400;1000000;2
0;1538415800;1530183900;1000000;2
0;1526915300;1576180400;1000000;2
1;1547866500;1528097100;1000000;2
1;1518024700;1514947900;1000000;2
1;1530050300;1524801500;1000000;2
1;1577141400;1513950900;1000000;2
0;1524923100;1533113500;1000000;2
0;1508211600;1574930300;1000000;2
1;1471907300;1509955100;1000000;2
